size,tool,mode,variant,folding,runs,time_s_avg,time_s_mean,time_s_min,time_s_max,time_s_stddev,peak_kb_avg,peak_kb_mean,peak_kb_min,peak_kb_max,peak_kb_stddev,output_bytes_avg,output_bytes_mean,output_bytes_min,output_bytes_max,output_bytes_stddev
1mb,cypher,normal,1,,10,0.643,0.643,0.63,0.67,0.0105935,77913.6,77913.6,77696,78048,111.382,3.24542e+06,3.24542e+06,3.24542e+06,3.24542e+06,0
1mb,cypher,normal,2,fixed,10,0.613,0.613,0.61,0.62,0.00483046,71530,71530,71328,71656,109.905,2.7667e+06,2.7667e+06,2.7667e+06,2.7667e+06,0
1mb,cypher,normal,2,open,10,0.611,0.611,0.61,0.62,0.00316228,70748.4,70748.4,70552,70856,93.9683,2.59821e+06,2.59821e+06,2.59821e+06,2.59821e+06,0
1mb,cypher,normal,3,,10,0.644,0.644,0.64,0.66,0.00699206,82094,82094,81872,82224,94.8308,3.40271e+06,3.40271e+06,3.40271e+06,3.40271e+06,0
1mb,yarspg,normal,1,,10,0.631,0.631,0.63,0.64,0.00316228,73080,73080,73012,73176,58.9086,3.01632e+06,3.01632e+06,3.01632e+06,3.01632e+06,0
1mb,yarspg,normal,2,fixed,10,0.6,0.6,0.59,0.61,0.00666667,66848.4,66848.4,66732,66908,62.6369,2.5776e+06,2.5776e+06,2.5776e+06,2.5776e+06,0
1mb,yarspg,normal,2,open,10,0.603,0.603,0.6,0.61,0.00483046,66329.2,66329.2,66188,66440,70.6805,2.41391e+06,2.41391e+06,2.41391e+06,2.41391e+06,0
1mb,yarspg,normal,3,,10,0.633,0.633,0.63,0.64,0.00483046,77052.8,77052.8,76764,77228,123.588,3.0804e+06,3.0804e+06,3.0804e+06,3.0804e+06,0
2.5mb,cypher,large-file,1,,10,8.575,8.575,8.46,8.67,0.0753142,56012,56012,54980,56296,384.019,1.03123e+07,1.03123e+07,1.03123e+07,1.03123e+07,0
2.5mb,cypher,large-file,2,fixed,10,2.302,2.302,2.27,2.33,0.0154919,86941.2,86941.2,86756,87040,95.3133,8.36516e+06,8.36516e+06,8.36516e+06,8.36516e+06,0
2.5mb,cypher,large-file,2,open,10,2.294,2.294,2.28,2.32,0.0126491,86940,86940,86836,87016,71.6783,7.93574e+06,7.93574e+06,7.93574e+06,7.93574e+06,0
2.5mb,cypher,large-file,3,,10,7.305,7.305,7.21,7.39,0.0658702,58616.8,58616.8,58492,58676,74.3278,1.03638e+07,1.03638e+07,1.03638e+07,1.03638e+07,0
2.5mb,cypher,normal,1,,10,1.879,1.879,1.86,1.89,0.00994429,168604,168604,168448,168704,88.5729,8.16274e+06,8.16274e+06,8.16274e+06,8.16274e+06,0
2.5mb,cypher,normal,2,fixed,10,1.854,1.854,1.84,1.87,0.00843274,151026,151026,150856,151208,121.124,6.96053e+06,6.96053e+06,6.96053e+06,6.96053e+06,0
2.5mb,cypher,normal,2,open,10,1.868,1.868,1.82,2.1,0.0823003,148743,148743,148548,149204,193.795,6.53863e+06,6.53863e+06,6.53863e+06,6.53863e+06,0
2.5mb,cypher,normal,3,,10,1.888,1.888,1.88,1.91,0.010328,172680,172680,172584,172764,60.7055,8.56703e+06,8.56703e+06,8.56703e+06,8.56703e+06,0
2.5mb,yarspg,normal,1,,10,1.871,1.871,1.86,1.88,0.00994429,163328,163328,163220,163452,73.6466,7.59044e+06,7.59044e+06,7.59044e+06,7.59044e+06,0
2.5mb,yarspg,normal,2,fixed,10,1.84,1.84,1.83,1.85,0.00816497,145413,145413,145184,145584,103.555,6.48822e+06,6.48822e+06,6.48822e+06,6.48822e+06,0
2.5mb,yarspg,normal,2,open,10,1.83,1.83,1.81,1.84,0.00942809,143526,143526,143428,143620,68.6181,6.07833e+06,6.07833e+06,6.07833e+06,6.07833e+06,0
2.5mb,yarspg,normal,3,,10,1.866,1.866,1.85,1.87,0.00699206,166391,166391,166332,166484,45.2568,7.76173e+06,7.76173e+06,7.76173e+06,7.76173e+06,0
2mb,cypher,large-file,1,,10,6.159,6.159,6.1,6.25,0.048637,44869.6,44869.6,44592,45052,126.339,8.25292e+06,8.25292e+06,8.25292e+06,8.25292e+06,0
2mb,cypher,large-file,2,fixed,10,1.723,1.723,1.7,1.74,0.011595,75928.8,75928.8,75796,76008,81.2743,6.69466e+06,6.69466e+06,6.69466e+06,6.69466e+06,0
2mb,cypher,large-file,2,open,10,1.718,1.718,1.69,1.74,0.0154919,75789.6,75789.6,75644,75888,66.6453,6.34708e+06,6.34708e+06,6.34708e+06,6.34708e+06,0
2mb,cypher,large-file,3,,10,5.153,5.153,5.09,5.22,0.0452278,53680.8,53680.8,53552,53940,119.135,8.29098e+06,8.29098e+06,8.29098e+06,8.29098e+06,0
2mb,cypher,normal,1,,10,1.39,1.39,1.38,1.4,0.00816497,135624,135624,135436,135760,100.725,6.52153e+06,6.52153e+06,6.52153e+06,6.52153e+06,0
2mb,cypher,normal,2,fixed,10,1.369,1.369,1.36,1.4,0.0128668,126165,126165,126076,126344,99.0273,5.5605e+06,5.5605e+06,5.5605e+06,5.5605e+06,0
2mb,cypher,normal,2,open,10,1.369,1.369,1.36,1.39,0.00994429,124989,124989,124756,125136,149.343,5.22308e+06,5.22308e+06,5.22308e+06,5.22308e+06,0
2mb,cypher,normal,3,,10,1.444,1.444,1.43,1.45,0.00699206,145884,145884,145728,146068,101.333,6.84348e+06,6.84348e+06,6.84348e+06,6.84348e+06,0
2mb,yarspg,normal,1,,10,1.375,1.375,1.36,1.39,0.00971825,130216,130216,130024,130404,127.471,6.06362e+06,6.06362e+06,6.06362e+06,6.06362e+06,0
2mb,yarspg,normal,2,fixed,10,1.366,1.366,1.35,1.43,0.0236643,120944,120944,120848,121008,48.3855,5.1826e+06,5.1826e+06,5.1826e+06,5.1826e+06,0
2mb,yarspg,normal,2,open,10,1.352,1.352,1.34,1.38,0.0139841,119490,119490,119392,119560,47.4861,4.85478e+06,4.85478e+06,4.85478e+06,4.85478e+06,0
2mb,yarspg,normal,3,,10,1.424,1.424,1.41,1.44,0.00966092,139591,139591,137588,139948,708.498,6.19917e+06,6.19917e+06,6.19917e+06,6.19917e+06,0
