timestamp,neo4j_version,size,count,input_bytes,input_triples,mode,variant,folding,run,exit_code,time_s,peak_kb,cypher_bytes,batch_size,nodes,relationships,stderr
2026-07-21T09:42:31+00:00,2026.06.0,1mb,400,937299,26800,large-file,3,,3,0,12.17,302672,4132067,1000,27278,30000,
2026-07-21T09:42:45+00:00,2026.06.0,1mb,400,937299,26800,large-file,3,,4,0,11.55,303804,4132067,1000,27278,30000,
2026-07-21T09:42:59+00:00,2026.06.0,1mb,400,937299,26800,large-file,3,,5,0,11.81,296548,4132067,1000,27278,30000,
2026-07-21T09:43:36+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,1,,1,0,30.74,350720,6164634,1000,31878,36000,
2026-07-21T09:43:58+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,1,,2,0,19.39,344892,6164634,1000,31878,36000,
2026-07-21T09:44:20+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,1,,3,0,19.55,346112,6164634,1000,31878,36000,
2026-07-21T09:44:41+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,1,,4,0,19.32,348180,6164634,1000,31878,36000,
2026-07-21T09:45:04+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,1,,5,0,20.51,355036,6164634,1000,31878,36000,
2026-07-21T09:45:30+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,2,fixed,1,0,22.87,309740,5002196,1000,25878,30000,
2026-07-21T09:45:51+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,2,fixed,2,0,18.32,311148,5002196,1000,25878,30000,
2026-07-21T09:46:13+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,2,fixed,3,0,20.29,318484,5002196,1000,25878,30000,
2026-07-21T09:46:35+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,2,fixed,4,0,19.17,312488,5002196,1000,25878,30000,
2026-07-21T09:46:51+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,2,fixed,5,0,13.97,322312,5002196,1000,25878,30000,
2026-07-21T09:47:10+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,2,open,1,0,15.91,310944,4733136,1000,25878,28800,
2026-07-21T09:47:26+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,2,open,2,0,14.00,308876,4733136,1000,25878,28800,
2026-07-21T09:47:40+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,2,open,3,0,11.46,309360,4733136,1000,25878,28800,
2026-07-21T09:47:58+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,2,open,4,0,15.54,311464,4733136,1000,25878,28800,
2026-07-21T09:48:13+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,2,open,5,0,12.53,301724,4733136,1000,25878,28800,
2026-07-21T09:48:44+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,3,,1,0,25.73,364016,6212494,1000,40878,45000,
2026-07-21T09:49:06+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,3,,2,0,20.03,365416,6212494,1000,40878,45000,
2026-07-21T09:49:25+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,3,,3,0,16.73,366184,6212494,1000,40878,45000,
2026-07-21T09:49:44+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,3,,4,0,16.56,365884,6212494,1000,40878,45000,
2026-07-21T09:50:02+00:00,2026.06.0,1.5mb,600,1410801,40200,large-file,3,,5,0,15.94,366592,6212494,1000,40878,45000,
2026-07-21T09:50:48+00:00,2026.06.0,2mb,800,1884380,53600,large-file,1,,1,0,37.10,383268,8252915,1000,42478,48000,
2026-07-21T09:51:24+00:00,2026.06.0,2mb,800,1884380,53600,large-file,1,,2,0,34.07,386404,8252915,1000,42478,48000,
2026-07-21T09:51:59+00:00,2026.06.0,2mb,800,1884380,53600,large-file,1,,3,0,32.08,384336,8252915,1000,42478,48000,
2026-07-21T09:52:27+00:00,2026.06.0,2mb,800,1884380,53600,large-file,1,,4,0,26.14,411584,8252915,1000,42478,48000,
