timestamp,size,count,input_bytes,input_lines,input_triples,tool,mode,variant,folding,run,exit_code,time_s,peak_kb,output_bytes,batch_size,stderr
2026-07-21T09:14:25+00:00,0.5mb,200,463802,10835,13400,cypher,normal,1,,4,0,0.32,47968,1607381,,
2026-07-21T09:14:25+00:00,0.5mb,200,463802,10835,13400,cypher,normal,1,,5,0,0.32,48008,1607381,,
2026-07-21T09:14:25+00:00,0.5mb,200,463802,10835,13400,cypher,normal,1,,6,0,0.32,48004,1607381,,
2026-07-21T09:14:26+00:00,0.5mb,200,463802,10835,13400,cypher,normal,1,,7,0,0.32,48128,1607381,,
2026-07-21T09:14:26+00:00,0.5mb,200,463802,10835,13400,cypher,normal,1,,8,0,0.32,47964,1607381,,
2026-07-21T09:14:26+00:00,0.5mb,200,463802,10835,13400,cypher,normal,1,,9,0,0.32,47964,1607381,,
2026-07-21T09:14:27+00:00,0.5mb,200,463802,10835,13400,cypher,normal,1,,10,0,0.32,48036,1607381,,
2026-07-21T09:14:27+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,fixed,1,0,0.32,45664,1369842,,
2026-07-21T09:14:27+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,fixed,2,0,0.32,45628,1369842,,
2026-07-21T09:14:28+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,fixed,3,0,0.32,45556,1369842,,
2026-07-21T09:14:28+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,fixed,4,0,0.32,45724,1369842,,
2026-07-21T09:14:28+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,fixed,5,0,0.32,45592,1369842,,
2026-07-21T09:14:29+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,fixed,6,0,0.32,45588,1369842,,
2026-07-21T09:14:29+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,fixed,7,0,0.32,45636,1369842,,
2026-07-21T09:14:29+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,fixed,8,0,0.31,45544,1369842,,
2026-07-21T09:14:30+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,fixed,9,0,0.32,45752,1369842,,
2026-07-21T09:14:30+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,fixed,10,0,0.32,45536,1369842,,
2026-07-21T09:14:30+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,open,1,0,0.31,45108,1286215,,
2026-07-21T09:14:31+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,open,2,0,0.31,45324,1286215,,
2026-07-21T09:14:31+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,open,3,0,0.31,45404,1286215,,
2026-07-21T09:14:31+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,open,4,0,0.32,45336,1286215,,
2026-07-21T09:14:31+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,open,5,0,0.31,45208,1286215,,
2026-07-21T09:14:32+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,open,6,0,0.31,45328,1286215,,
2026-07-21T09:14:32+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,open,7,0,0.31,45184,1286215,,
2026-07-21T09:14:32+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,open,8,0,0.31,45144,1286215,,
2026-07-21T09:14:33+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,open,9,0,0.31,45152,1286215,,
2026-07-21T09:14:33+00:00,0.5mb,200,463802,10835,13400,cypher,normal,2,open,10,0,0.31,45440,1286215,,
2026-07-21T09:14:33+00:00,0.5mb,200,463802,10835,13400,cypher,normal,3,,1,0,0.32,50200,1682331,,
2026-07-21T09:14:34+00:00,0.5mb,200,463802,10835,13400,cypher,normal,3,,2,0,0.32,50148,1682331,,
2026-07-21T09:14:34+00:00,0.5mb,200,463802,10835,13400,cypher,normal,3,,3,0,0.32,50364,1682331,,
2026-07-21T09:14:34+00:00,0.5mb,200,463802,10835,13400,cypher,normal,3,,4,0,0.32,50288,1682331,,
2026-07-21T09:14:35+00:00,0.5mb,200,463802,10835,13400,cypher,normal,3,,5,0,0.32,50256,1682331,,
2026-07-21T09:14:35+00:00,0.5mb,200,463802,10835,13400,cypher,normal,3,,6,0,0.32,50184,1682331,,
2026-07-21T09:14:35+00:00,0.5mb,200,463802,10835,13400,cypher,normal,3,,7,0,0.32,50292,1682331,,
2026-07-21T09:14:36+00:00,0.5mb,200,463802,10835,13400,cypher,normal,3,,8,0,0.32,50336,1682331,,
2026-07-21T09:14:36+00:00,0.5mb,200,463802,10835,13400,cypher,normal,3,,9,0,0.32,50260,1682331,,
2026-07-21T09:14:36+00:00,0.5mb,200,463802,10835,13400,cypher,normal,3,,10,0,0.32,50360,1682331,,
2026-07-21T09:14:37+00:00,0.5mb,200,463802,10835,13400,cypher,large-file,1,,1,0,1.10,27520,1965094,1000,
2026-07-21T09:14:39+00:00,0.5mb,200,463802,10835,13400,cypher,large-file,1,,2,0,1.08,27536,1965094,1000,
2026-07-21T09:14:40+00:00,0.5mb,200,463802,10835,13400,cypher,large-file,1,,3,0,1.08,27532,1965094,1000,
2026-07-21T09:14:41+00:00,0.5mb,200,463802,10835,13400,cypher,large-file,1,,4,0,1.09,27272,1965094,1000,
2026-07-21T09:14:42+00:00,0.5mb,200,463802,10835,13400,cypher,large-file,1,,5,0,1.09,27544,1965094,1000,
2026-07-21T09:14:43+00:00,0.5mb,200,463802,10835,13400,cypher,large-file,1,,6,0,1.09,27424,1965094,1000,
2026-07-21T09:14:44+00:00,0.5mb,200,463802,10835,13400,cypher,large-file,1,,7,0,1.09,27552,1965094,1000,
