size,tool,mode,variant,folding,runs,time_s_avg,time_s_mean,time_s_min,time_s_max,time_s_stddev,peak_kb_avg,peak_kb_mean,peak_kb_min,peak_kb_max,peak_kb_stddev,output_bytes_avg,output_bytes_mean,output_bytes_min,output_bytes_max,output_bytes_stddev
1mb,yarspg,normal,2,fixed,10,0.452,0.452,0.45,0.46,0.00421637,62250.8,62250.8,62112,62412,99.0452,4.39657e+06,4.39657e+06,4.39657e+06,4.39657e+06,0
1mb,yarspg,normal,2,open,10,0.413,0.413,0.41,0.42,0.00483046,46756,46756,46592,46856,88.1615,1.29547e+06,1.29547e+06,1.29547e+06,1.29547e+06,0
1mb,yarspg,normal,3,,10,0.421,0.421,0.42,0.43,0.00316228,54505.6,54505.6,54416,54568,41.3204,2.66343e+06,2.66343e+06,2.66343e+06,2.66343e+06,0
2.5mb,cypher,large-file,1,,10,4.453,4.453,4.39,4.58,0.0551866,51217.2,51217.2,51108,51440,104.325,8.28458e+06,8.28458e+06,8.28458e+06,8.28458e+06,0
2.5mb,cypher,large-file,2,fixed,10,1.318,1.318,1.31,1.33,0.00788811,70238,70238,69132,70872,708.858,1.15308e+07,1.15308e+07,1.15308e+07,1.15308e+07,0
2.5mb,cypher,large-file,2,open,10,1.241,1.241,1.23,1.27,0.0119722,101690,101690,101468,101776,104.77,3.62357e+06,3.62357e+06,3.62357e+06,3.62357e+06,0
2.5mb,cypher,large-file,3,,10,3.523,3.523,3.46,3.57,0.0340098,50258.8,50258.8,50140,50332,72.8359,7.56907e+06,7.56907e+06,7.56907e+06,7.56907e+06,0
2.5mb,cypher,normal,1,,10,1.113,1.113,1.11,1.13,0.00674949,137226,137226,137108,137384,97.091,8.01195e+06,8.01195e+06,8.01195e+06,8.01195e+06,0
2.5mb,cypher,normal,2,fixed,10,1.152,1.152,1.14,1.16,0.00632456,144528,144528,144324,144652,120.133,1.14553e+07,1.14553e+07,1.14553e+07,1.14553e+07,0
2.5mb,cypher,normal,2,open,10,1.021,1.021,1.02,1.03,0.00316228,103081,103081,102972,103184,66.688,3.34795e+06,3.34795e+06,3.34795e+06,3.34795e+06,0
